
Project Sheet1


Table Q3A2
【Q3】 TOMA
by Header B
Base: b1.Base-Total Respondents

                                                                                                                                                                                                                                 25-34
                            National                           Age                                              City tier                                                          Income                                      &China1+/
                          ------------ --------------------------------------------------- --------------------------------------------------- -----------------------------------------------------------------------------       1
                                              18-24        25-34        35-44        45-55   Top 4 City      Top 4+A       A City       B City    China1+/1      China1+       China1     China2&3       China2       China3
                                 total          (a)          (b)          (c)          (d)          (a)          (b)          (c)          (d)          (a)          (b)          (c)          (d)          (e)          (f)          (a)

总体                              1500          276          509          449          266          204          671          467          829          480          167          313         1020          574          446          339
                                 100.0        100.0        100.0        100.0        100.0        100.0        100.0        100.0        100.0        100.0        100.0        100.0        100.0        100.0        100.0        100.0
Aupres                              18            2            1            8b           7b           3            4            1           14bc          6            1            5           12            8            4            1
                                   1.2           .7           .2          1.8          2.6          1.5           .6           .2          1.7          1.3           .6          1.6          1.2          1.4           .9           .3
Herborist                           12            1            5            3            3            2            7            5            5            3            1            2            9            5            4            5
                                    .8           .4          1.0           .7          1.1          1.0          1.0          1.1           .6           .6           .6           .6           .9           .9           .9          1.5
Chcedo                             105           29cd         49cd         16           11           15           46           31           59           39           16           23           66           36           30           30
                                   7.0         10.5          9.6          3.6          4.1          7.4          6.9          6.6          7.1          8.1          9.6          7.3          6.5          6.3          6.7          8.8
Clinique                             8            3            2            2            1            3            5            2            3            4            2            2            4            2            2            2
                                    .5          1.1           .4           .4           .4          1.5           .7           .4           .4           .8          1.2           .6           .4           .3           .4           .6
Dabao                               88           13           31           20           24ac         13           41           28           47           26            7           19           62           41           21           20
                                   5.9          4.7          6.1          4.5          9.0          6.4          6.1          6.0          5.7          5.4          4.2          6.1          6.1          7.1          4.7          5.9
Estee Lauder                        46            8           16           12           10           11d          31d          20d          15           22df         13cdef        9           24           15            9           18
                                   3.1          2.9          3.1          2.7          3.8          5.4          4.6          4.3          1.8          4.6          7.8          2.9          2.4          2.6          2.0          5.3
Pechoin                            116           17           33           41           25            8           49a          41a          67a          34           17           17           82           41           41c          23
                                   7.7          6.2          6.5          9.1          9.4          3.9          7.3          8.8          8.1          7.1         10.2          5.4          8.0          7.1          9.2          6.8
Innisfree                           20           15bcd         3            1            1            7c          10            3           10            9f           3            6f          11f          10f           1            3
                                   1.3          5.4           .6           .2           .4          3.4          1.5           .6          1.2          1.9          1.8          1.9          1.1          1.7           .2           .9
Inoherb                             37           10           16            6            5            6           22           16           15            9            1            8           28b           9           19abe         8
                                   2.5          3.6          3.1          1.3          1.9          2.9          3.3          3.4          1.8          1.9           .6          2.6          2.7          1.6          4.3          2.4
Kans                                69           11           28           22            8            5           31           26a          38           22            9           13           47           21           26           17
                                   4.6          4.0          5.5          4.9          3.0          2.5          4.6          5.6          4.6          4.6          5.4          4.2          4.6          3.7          5.8          5.0
Lancome                             61           10           20           23            8            5           35ad         30ad         26           27f          12f          15           34           23           11           25
                                   4.1          3.6          3.9          5.1          3.0          2.5          5.2          6.4          3.1          5.6          7.2          4.8          3.3          4.0          2.5          7.4
Loreal                             178           20           57           70ab         31           27           90           63           88           70df         23           47df        108           71f          37           45
                                  11.9          7.2         11.2         15.6         11.7         13.2         13.4         13.5         10.6         14.6         13.8         15.0         10.6         12.4          8.3         13.3
Olay                               151            8           34a          72ab         37ab         28c          59           31           92c          65df         21f          44df         86f          61f          25           28
                                  10.1          2.9          6.7         16.0         13.9         13.7          8.8          6.6         11.1         13.5         12.6         14.1          8.4         10.6          5.6          8.3
SK-ll                               19           12bcd         3            4d           -            3            7            4           12            7            2            5           12            6            6            4
                                   1.3          4.3           .6           .9            -          1.5          1.0           .9          1.4          1.5          1.2          1.6          1.2          1.0          1.3          1.2
Vichy                                1            -            -            -            1            -            1            1            -            1            1            -            -            -            -            -
                                    .1            -            -            -           .4            -           .1           .2            -           .2           .6            -            -            -            -            -
Wetcode                             28           10cd         13d           5d           -            5           12            7           16            4            1            3           24ab         15ab          9            4
                                   1.9          3.6          2.6          1.1            -          2.5          1.8          1.5          1.9           .8           .6          1.0          2.4          2.6          2.0          1.2
Hanhoo                              20            8c           6            2            4            2            7            5           13            3            1            2           17           12a           5            1
                                   1.3          2.9          1.2           .4          1.5          1.0          1.0          1.1          1.6           .6           .6           .6          1.7          2.1          1.1           .3
Oneleaf                             27           18bcd         4            4            1            4           11            7           16            5            3            2           22c          12           10            2
                                   1.8          6.5           .8           .9           .4          2.0          1.6          1.5          1.9          1.0          1.8           .6          2.2          2.1          2.2           .6
OSM                                 27            5           14d           7            1            2            9            7           18            9            3            6           18           10            8            9
                                   1.8          1.8          2.8          1.6           .4          1.0          1.3          1.5          2.2          1.9          1.8          1.9          1.8          1.7          1.8          2.7
Whoo                                12            3            4            3            2            -            6a           6a           6a           3            2            1            9            5            4            2
                                    .8          1.1           .8           .7           .8            -           .9          1.3           .7           .6          1.2           .3           .9           .9           .9           .6

Project Sheet1


Table Q3A2 (continuation)
【Q3】 TOMA
by Header B
Base: b1.Base-Total Respondents

                                                                                                                                                                                                                                 25-34
                            National                           Age                                              City tier                                                          Income                                      &China1+/
                          ------------ --------------------------------------------------- --------------------------------------------------- -----------------------------------------------------------------------------       1
                                              18-24        25-34        35-44        45-55   Top 4 City      Top 4+A       A City       B City    China1+/1      China1+       China1     China2&3       China2       China3
                                 total          (a)          (b)          (c)          (d)          (a)          (b)          (c)          (d)          (a)          (b)          (c)          (d)          (e)          (f)          (a)

总体                              1500          276          509          449          266          204          671          467          829          480          167          313         1020          574          446          339
                                 100.0        100.0        100.0        100.0        100.0        100.0        100.0        100.0        100.0        100.0        100.0        100.0        100.0        100.0        100.0        100.0
Meifubao                            20            1           11ad          7            1            6c           7            1           13c           3            -            3           17b          10b           7b           5
                                   1.3           .4          2.2          1.6           .4          2.9          1.0           .2          1.6           .6            -          1.0          1.7          1.7          1.6          1.5
Wetherm                             13            3            7c           1            2            -            3            3           10a           2            1            1           11            5            6            4
                                    .9          1.1          1.4           .2           .8            -           .4           .6          1.2           .4           .6           .3          1.1           .9          1.3          1.2
Chnskin                              2            1            -            1            -            -            -            -            2            2            1            1            -            -            -            -
                                    .1           .4            -           .2            -            -            -            -           .2           .4           .6           .3            -            -            -            -
Marubi                              12            -            2            6a           4a           4            6            2            6            3            -            3            9b           3            6b           4
                                    .8            -           .4          1.3          1.5          2.0           .9           .4           .7           .6            -          1.0           .9           .5          1.3          1.2
8cupswater                           7            1            3            3            -            1            5            4            2            -            -            -            7abc         4abc         3            2
                                    .5           .4           .6           .7            -           .5           .7           .9           .2            -            -            -           .7           .7           .7           .6
Sulwhasoo                            9            -            5a           3            1            1            6            5            3            4            2            2            5            3            2            2
                                    .6            -          1.0           .7           .4           .5           .9          1.1           .4           .8          1.2           .6           .5           .5           .4           .6
Cogi                                 4            1            2            1            -            -            2            2            2            1            -            1            3            1            2            1
                                    .3           .4           .4           .2            -            -           .3           .4           .2           .2            -           .3           .3           .2           .4           .3
Yuesai                               2            -            1            -            1            1            2            1            -            1            -            1            1            1            -            1
                                    .1            -           .2            -           .4           .5           .3           .2            -           .2            -           .3           .1           .2            -           .3
Avon                                 7            -            -            2            5ab          -            1            1            6a           2            -            2            5b           3            2            -
                                    .5            -            -           .4          1.9            -           .1           .2           .7           .4            -           .6           .5           .5           .4            -
perfect                              7            -            1            6abd         -            -            2            2            5a           1            -            1            6b           3            3            1
                                    .5            -           .2          1.3            -            -           .3           .4           .6           .2            -           .3           .6           .5           .7           .3
Jurlique                             2            1            -            1            -            -            -            -            2            1            -            1            1            -            1            -
                                    .1           .4            -           .2            -            -            -            -           .2           .2            -           .3           .1            -           .2            -
Dior                                 1            1            -            -            -            -            1            1            -            -            -            -            1            1            -            -
                                    .1           .4            -            -            -            -           .1           .2            -            -            -            -           .1           .2            -            -
Obeis                                -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -
                                     -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -
Afu                                  2            -            -            1            1            -            1            1            1            1            -            1            1            1            -            -
                                    .1            -            -           .2           .4            -           .1           .2           .1           .2            -           .3           .1           .2            -            -
ZA                                   1            -            -            1            -            -            -            -            1            -            -            -            1            -            1            -
                                    .1            -            -           .2            -            -            -            -           .1            -            -            -           .1            -           .2            -
