"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","Q3A2"
"VT","【Q3】 TOMA"
"HT","Header B"
"BT","b1.Base-Total Respondents"
"CH",,"National","Age",,,,"City tier",,,,"Income",,,,,,"25-34&China1+/1"
"CL",,"total","18-24 (a)","25-34 (b)","35-44 (c)","45-55 (d)","Top 4 City (a)","Top 4+A (b)","A City (c)","B City (d)","China1+/1 (a)","China1+ (b)","China1 (c)","China2&3 (d)","China2 (e)","China3 (f)","(a)"
"PV",,11.8666666666667,7.2463768115942,11.1984282907662,15.5902004454343,11.6541353383459,13.2352941176471,13.4128166915052,13.4903640256959,10.6151990349819,14.5833333333333,13.7724550898204,15.0159744408946,10.5882352941176,12.3693379790941,8.29596412556054,12.3333333333333
"MK",," "," "," ",ab," "," "," "," "," ",df," ",df," ",f," "," "
"RW","Olay",151.0,8.0,34.0,72.0,37.0,28.0,59.0,31.0,92.0,65.0,21.0,44.0,86.0,61.0,25.0,26.0
"PV",,10.0666666666667,2.89855072463768,6.67976424361493,16.0356347438753,13.9097744360902,13.7254901960784,8.79284649776453,6.63811563169165,11.0977080820265,13.5416666666667,12.5748502994012,14.0575079872204,8.43137254901961,10.6271777003484,5.60538116591928,8.66666666666667
"MK",," "," ",a,ab,ab,c," "," ",c,df,f,df,f,f," "," "
"RW","SK-ll",19.0,12.0,3.0,4.0,0.0,3.0,7.0,4.0,12.0,7.0,2.0,5.0,12.0,6.0,6.0,4.0
"PV",,1.26666666666667,4.34782608695652,0.589390962671906,0.89086859688196,0.0,1.47058823529412,1.04321907600596,0.856531049250535,1.4475271411339,1.45833333333333,1.19760479041916,1.59744408945687,1.17647058823529,1.04529616724739,1.34529147982063,1.33333333333333
"MK",," ",bcd," ",d," "," "," "," "," "," "," "," "," "," "," "," "
"RW","Vichy",1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
"PV",,0.0666666666666667,0.0,0.0,0.0,0.37593984962406,0.0,0.14903129657228,0.214132762312634,0.0,0.208333333333333,0.598802395209581,0.0,0.0,0.0,0.0,0.0
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
