"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","Q3A1"
"VT","【Q3】 TOMA"
"HT","Header A"
"BT","b1.Base-Total Respondents"
"CH",,"National",,,,,,"Top 4",,,,,,"Top 4+A",,,,,,"A",,,,,,"B",,,,,,"China1+/1",,,,,,"China1+",,,,,,"China1",,,,,,"China2&3",,,,,,"China2",,,,,,"China3",,,,,,"18-24",,,,,,"25-34",,,,,,"35-44",,,,,,"45-55",,,,,,"University Student",,,,,,"25-34&China1+/1",,,,,
"CL",,"Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (c)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)"
"MK",,e," "," "," "," ",bde," "," "," "," "," ",bd," "," "," "," "," ",bde," "," "," "," "," ",e," "," "," "," "," "," "," "," "," ",b,b,abce," "," "," "," "," ",abce," "," "," ",b,b,b,de," ",e," "," "," "," "," "," "," "," "," ",de,e," "," "," ",e," "," "," "," "," ",abcde,e," "," "," "," ",e," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",c," ",ce," "," "," "," "," ",bce
"RW","Clinique",2.0,9.0,16.0,11.0,3.0,8.0,0.0,4.0,4.0,0.0,2.0,3.0,0.0,7.0,10.0,7.0,3.0,5.0,0.0,3.0,6.0,7.0,1.0,2.0,2.0,2.0,6.0,4.0,0.0,3.0,0.0,5.0,6.0,9.0,2.0,4.0,0.0,1.0,2.0,5.0,2.0,2.0,0.0,4.0,4.0,4.0,0.0,2.0,2.0,4.0,10.0,2.0,1.0,4.0,2.0,4.0,8.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,3.0,1.0,5.0,6.0,6.0,1.0,2.0,1.0,2.0,6.0,2.0,1.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,3.0,2.0
"PV",,0.175901495162709,0.6,1.06666666666667,0.733333333333333,0.2,0.533333333333333,0.0,1.63934426229508,1.87793427230047,0.0,1.0,1.47058823529412,0.0,0.994318181818182,1.4792899408284,1.05105105105105,0.451807228915663,0.745156482861401,0.0,0.652173913043478,1.29589632829374,1.53508771929825,0.21551724137931,0.428265524625268,0.309119010819165,0.251256281407035,0.728155339805825,0.479616306954436,0.0,0.361881785283474,0.0,1.05042016806723,1.23711340206186,1.87891440501044,0.428265524625268,0.833333333333333,0.0,0.632911392405063,1.23456790123457,3.03030303030303,1.19047619047619,1.19760479041916,0.0,1.25786163522013,1.23839009287926,1.27388535031847,0.0,0.638977635782748,0.26246719160105,0.390625,0.985221674876847,0.19588638589618,0.0968054211035818,0.392156862745098,0.434782608695652,0.719424460431655,1.36986301369863,0.172711571675302,0.172413793103448,0.348432055749129,0.0,0.0,0.464037122969838,0.226244343891403,0.0,0.448430493273543,0.0,0.352112676056338,0.380228136882129,1.0989010989011,0.0,1.08695652173913,0.273224043715847,1.01010101010101,1.17647058823529,1.19760479041916,0.198412698412698,0.392927308447937,0.293255131964809,0.431965442764579,1.32450331125828,0.43859649122807,0.218818380743982,0.44543429844098,0.0,0.387596899224806,1.09489051094891,0.0,0.37037037037037,0.37593984962406,0.0,0.0,1.53846153846154,0.0,0.0,0.793650793650794,0.0,1.97368421052632,0.617283950617284,1.84049079754601,1.0,0.589970501474926
"MK",," "," ",ae,ae," "," "," ",ad,ad," "," "," "," ",a,a,a," ",a," "," ",a,ae," "," "," "," ",e,e," "," "," ",a,a,ae," ",a," "," "," ",a," "," "," ",ae,ae,ae," "," "," "," ",ade," "," "," "," "," ",de," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",a," "," "
"RW","Dabao",38.0,98.0,85.0,75.0,129.0,88.0,6.0,17.0,9.0,17.0,22.0,13.0,13.0,54.0,36.0,30.0,61.0,41.0,7.0,37.0,27.0,13.0,39.0,28.0,25.0,44.0,49.0,45.0,68.0,47.0,14.0,40.0,35.0,22.0,43.0,26.0,3.0,14.0,9.0,6.0,11.0,7.0,11.0,26.0,26.0,16.0,32.0,19.0,24.0,58.0,50.0,53.0,86.0,62.0,10.0,31.0,24.0,31.0,51.0,41.0,14.0,27.0,26.0,22.0,35.0,21.0,3.0,7.0,6.0,4.0,10.0,13.0,5.0,23.0,18.0,14.0,36.0,31.0,15.0,39.0,36.0,33.0,49.0,20.0,15.0,29.0,25.0,24.0,34.0,24.0,0.0,0.0,2.0,1.0,3.0,4.0,3.0,10.0,13.0,13.0,24.0,20.0
"PV",,3.34212840809147,6.53333333333333,5.66666666666667,5.0,8.6,5.86666666666667,4.1958041958042,6.9672131147541,4.22535211267606,8.09523809523809,11.0,6.37254901960784,2.6530612244898,7.67045454545455,5.32544378698225,4.5045045045045,9.18674698795181,6.11028315946349,2.01729106628242,8.04347826086956,5.83153347732181,2.85087719298246,8.4051724137931,5.99571734475375,3.86398763523957,5.52763819095477,5.94660194174757,5.39568345323741,8.13397129186603,5.66948130277443,3.73333333333333,8.40336134453782,7.21649484536082,4.5929018789144,9.20770877944326,5.41666666666667,2.05479452054795,8.86075949367089,5.55555555555556,3.63636363636364,6.54761904761905,4.19161676646707,4.80349344978166,8.17610062893082,8.04953560371517,5.09554140127389,10.7023411371237,6.0702875399361,3.1496062992126,5.6640625,4.92610837438424,5.19098922624878,8.32526621490804,6.07843137254902,2.17391304347826,5.57553956834532,4.10958904109589,5.35405872193437,8.79310344827586,7.14285714285714,4.63576158940397,5.76923076923077,6.03248259860789,4.97737556561086,7.72626931567329,4.7085201793722,1.46341463414634,2.46478873239437,2.28136882129278,1.46520146520147,3.71747211895911,4.71014492753623,1.36612021857923,4.64646464646465,3.52941176470588,2.79441117764471,7.14285714285714,6.09037328094303,4.39882697947214,8.42332613390929,7.94701986754967,7.23684210526316,10.7221006564551,4.4543429844098,6.66666666666667,11.2403100775194,9.12408759124088,8.88888888888889,12.5925925925926,9.02255639097744,0.0,0.0,3.07692307692308,1.58730158730159,3.65853658536585,3.17460317460317,2.88461538461538,6.57894736842105,8.02469135802469,3.98773006134969,8.0,5.89970501474926
"MK",," ",a,a,a,abcdf,a," "," "," "," ",ac," "," ",ad,a," ",acdf,a," ",ad,ad," ",ad,ad," "," "," "," ",abdf," "," ",ac,a," ",acf," "," ",a," "," ",a," "," "," "," "," ",adf," "," ",a," ",a,abcdf,a," ",a," ",a,abcd,ac," "," "," "," "," "," "," "," "," "," "," ",ad," ",a,a," ",acd,ad," ",af,af," ",af," "," "," "," "," ",a," "," "," "," "," "," "," "," "," "," "," ",ad," "
"RW","Estee Lauder",36.0,57.0,57.0,46.0,55.0,46.0,5.0,13.0,18.0,10.0,7.0,11.0,22.0,32.0,45.0,28.0,29.0,31.0,17.0,19.0,27.0,18.0,22.0,20.0,14.0,25.0,12.0,18.0,26.0,15.0,20.0,34.0,31.0,25.0,28.0,22.0,7.0,11.0,14.0,12.0,11.0,13.0,13.0,23.0,17.0,13.0,17.0,9.0,16.0,23.0,26.0,21.0,27.0,24.0,10.0,10.0,23.0,16.0,21.0,15.0,6.0,13.0,3.0,5.0,6.0,9.0,4.0,6.0,5.0,7.0,13.0,8.0,8.0,20.0,16.0,20.0,15.0,16.0,7.0,25.0,19.0,13.0,15.0,12.0,17.0,6.0,17.0,6.0,12.0,10.0,0.0,0.0,0.0,3.0,3.0,2.0,4.0,10.0,6.0,14.0,13.0,18.0
"PV",,3.16622691292876,3.8,3.8,3.06666666666667,3.66666666666667,3.06666666666667,3.4965034965035,5.32786885245902,8.45070422535211,4.76190476190476,3.5,5.3921568627451,4.48979591836735,4.54545454545455,6.65680473372781,4.2042042042042,4.36746987951807,4.61997019374069,4.89913544668588,4.1304347826087,5.83153347732181,3.94736842105263,4.74137931034483,4.28265524625268,2.16383307573416,3.14070351758794,1.45631067961165,2.15827338129496,3.11004784688995,1.80940892641737,5.33333333333333,7.14285714285714,6.39175257731959,5.21920668058455,5.99571734475375,4.58333333333333,4.79452054794521,6.9620253164557,8.64197530864197,7.27272727272727,6.54761904761905,7.78443113772455,5.67685589519651,7.23270440251572,5.26315789473684,4.14012738853503,5.68561872909699,2.87539936102236,2.0997375328084,2.24609375,2.5615763546798,2.05680705190989,2.61374636979671,2.35294117647059,2.17391304347826,1.79856115107914,3.93835616438356,2.76338514680484,3.62068965517241,2.61324041811847,1.98675496688742,2.77777777777778,0.696055684454756,1.13122171945701,1.32450331125828,2.01793721973094,1.95121951219512,2.11267605633803,1.90114068441065,2.56410256410256,4.83271375464684,2.89855072463768,2.18579234972678,4.04040404040404,3.13725490196078,3.99201596806387,2.97619047619048,3.1434184675835,2.05278592375367,5.39956803455724,4.19426048565121,2.85087719298246,3.28227571115974,2.67260579064588,7.55555555555556,2.32558139534884,6.2043795620438,2.22222222222222,4.44444444444444,3.7593984962406,0.0,0.0,0.0,4.76190476190476,3.65853658536585,1.58730158730159,3.84615384615385,6.57894736842105,3.7037037037037,4.29447852760736,4.33333333333333,5.30973451327434
"MK",," "," "," "," "," "," "," "," ",ae," "," "," "," "," ",d," "," "," "," "," "," "," "," "," "," ",c," "," ",c," "," "," "," "," "," "," "," "," "," "," "," "," "," ",f," "," "," "," "," "," "," "," "," "," "," "," ",b," "," "," "," ",c," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",af," "," "," "," ",bd," ",bd," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
