"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","Q3A1"
"VT","【Q3】 TOMA"
"HT","KPI"
"BT","b1.Base-Total Respondents"
"CH",,"Rolling wave",,,,,"National",,,,,
"CL",,"Aug+Sep (a)","Sep+Nov (b)","Nov+Dec (c)","Dec+Jan (d)","Jan+March (e)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)"
"MK",," "," "," "," "," "
"RW","Motivates me to keep striving to be my best",168.0,235.0,222.0,223.303116147308,249.774810589001
"PV",,22.4299065420561,22.0657276995305,21.0626185958254,22.4651022280994,24.2499816105826
"MK",," "," "," "," ",c
"RW","The first one to introduce the latest products and ingredients",151.0,198.0,227.0,213.376770538243,218.660993353001
"PV",,20.1602136181575,18.5915492957746,21.5370018975332,21.46647590928,21.2292226556311
"MK",," "," ",b," "," "
"RW","Helps me look younger for my age",153.0,232.0,207.0,230.031161473088,243.724901682001
"PV",,20.4272363150868,21.7840375586854,19.6394686907021,23.1419679550391,23.6626118137865
"MK",," "," "," ",c,c
"RW","Has packages that delight me",189.0,253.0,237.0,251.796033994335,248.046265187001
"PV",,25.2336448598131,23.7558685446009,22.4857685009488,25.3315929571765,24.0821616686409
"MK",," "," "," "," "," "
"RW","Has products you can feel working the moment you use them",146.0,209.0,192.0,188.847025495751,201.375539333001
"PV",,19.4926568758344,19.6244131455399,18.2163187855787,18.9986947178824,19.5510232362136
"MK",," "," "," "," "," "
"RW","Is more effective than other brands",174.0,224.0,205.0,216.266288951842,213.475357147001
"PV",,23.2309746328438,21.0328638497653,19.449715370019,21.7571719267446,20.7257628298059
"MK",,c," "," "," "," "
"TE"
"TB","TQ9014O5"
"VT","【Equity Attributes - SK-II】"
"HT","M2"
"BT","Base-M2-Know about SK-II"
"CH",,"National",,,,
"CL",,"Aug (a)","Sep (b)","Nov (c)","Dec (d)","March (e)"
"RT","总体",399.0,610.0,649.0,611.0,604.0
"PV",,100.0,100.0,100.0,100.0,100.0
"RW","This brand gives me radiant, glowing skin",108.0,164.0,169.0,190.465346534653,180.440305622
"PV",,27.0676691729323,26.8852459016393,26.040061633282,31.1727244737567,29.8742227850994
"MK",," "," "," ",bc," "
"RW","Effectively reduces the multiple signs of aging",129.0,199.0,203.0,206.891089108911,205.947573956001
"PV",,32.3308270676692,32.6229508196721,31.2788906009245,33.861062047285,34.0972804562915
"MK",," "," "," "," "," "
"RW","Effectively whitens facial skin",104.0,179.0,176.0,177.089108910891,184.21916019
"PV",,26.0651629072682,29.344262295082,27.1186440677966,28.9834875467907,30.4998609586093
"MK",," "," "," "," "," "
"RW","This brand leaves skin softer, smoother",85.0,139.0,168.0,175.514851485149,170.993169202
"PV",,21.3032581453634,22.7868852459016,25.8859784283513,28.7258349402862,28.3101273513245
"MK",," "," ",a,ab,ab
"RW","This brand is worth paying more for",135.0,197.0,223.0,215.465346534653,224.841846796001
"PV",,33.8345864661654,32.2950819672131,34.3605546995378,35.2643775015799,37.2254713238412
"MK",," "," "," "," ",b
"RW","Is upscale",205.0,304.0,326.0,321.09900990099,341.041624762002
"PV",,51.3784461152882,49.8360655737705,50.231124807396,52.5530294436973,56.4638451592719
"MK",," "," "," "," ",bc
"RW","Dramatically transform my skin",102.0,155.0,161.0,182.237623762376,183.274446548
"PV",,25.5639097744361,25.4098360655738,24.8073959938367,29.8261250020255,30.3434514152318
"MK",," "," "," ",bc,abc
"RW","Motivates me to keep striving to be my best",117.0,196.0,211.0,212.366336633663,212.560569450001
"PV",,29.3233082706767,32.1311475409836,32.5115562403698,34.7571745717943,35.1921472599339
"MK",," "," "," ",a,a
"RW","The first one to introduce the latest products and ingredients",113.0,174.0,185.0,192.613861386138,193.66629661
"PV",,28.3208020050125,28.5245901639344,28.5053929121726,31.5243635656527,32.0639563923842
"MK",," "," "," "," "," "
"RW","Helps me look younger for my age",106.0,193.0,210.0,207.267326732674,203.11343303
"PV",,26.5664160401003,31.6393442622951,32.3574730354391,33.9226393997829,33.628051826159
"MK",," ",a,a,a,a
"RW","Has packages that delight me",124.0,148.0,185.0,198.891089108911,197.445151178
"PV",,31.077694235589,24.2622950819672,28.5053929121726,32.5517330783816,32.6895945658941
"MK",,b," ",b,b,b
"RW","Has products you can feel working the moment you use them",128.0,178.0,209.0,197.940594059406,190.832155684
"PV",,32.0802005012531,29.1803278688525,32.2033898305085,32.3961692404919,31.5947277622517
"MK",," "," "," "," "," "
"RW","Is more effective than other brands",109.0,193.0,214.0,210.940594059406,207.837001240001
"PV",,27.3182957393484,31.6393442622951,32.9738058551618,34.52382881496,34.4100995430464
"MK",," "," ",a,a,a
"TE"
"TB","TQ9015P5"
"VT","【Equity Attributes - Vichy】"
"HT","M2"
"BT","Base-M2-Know about Vichy"
"CH",,"National",,,,
"CL",,"Aug (a)","Sep (b)","Nov (c)","Dec (d)","March (e)"
"RT","总体",244.0,351.0,332.0,329.0,304.0
"PV",,100.0,100.0,100.0,100.0,100.0
"RW","This brand gives me radiant, glowing skin",23.0,35.0,33.0,31.7968750000001,25.255099917
"PV",,9.42622950819672,9.97150997150997,9.93975903614458,9.66470364741643,8.30759865690789
"MK",," "," "," "," "," "
"RW","Effectively reduces the multiple signs of aging",18.0,25.0,24.0,21.7265625,26.190473988
"PV",,7.37704918032787,7.12250712250712,7.2289156626506,6.60381838905776,8.61528749605263
"MK",," "," "," "," "," "
"RW","Effectively whitens facial skin",30.0,29.0,37.0,36.625,31.802718414
"PV",,12.2950819672131,8.26210826210826,11.144578313253,11.1322188449848,10.461420530921
"MK",," "," "," "," "," "
"RW","This brand leaves skin softer, smoother",24.0,37.0,37.0,28.96875,28.996596201
"PV",,9.83606557377049,10.5413105413105,11.144578313253,8.80509118541033,9.53835401348683
"MK",," "," "," "," "," "
"RW","This brand is worth paying more for",25.0,32.0,38.0,32.2109375,28.996596201
"PV",,10.2459016393443,9.11680911680912,11.4457831325301,9.79055851063829,9.53835401348683
"MK",," "," "," "," "," "
"RW","Is upscale",31.0,48.0,52.0,54.1796874999999,33.673466556
"PV",,12.7049180327869,13.6752136752137,15.6626506024096,16.4679901215805,11.0767982092105
"MK",," "," ",e,e," "
"RW","Dramatically transform my skin",29.0,44.0,42.0,28.5546875,24.319725846
"PV",,11.8852459016393,12.5356125356125,12.6506024096386,8.67923632218845,7.99990981776316
"MK",," ",e,de," "," "
"RW","Motivates me to keep striving to be my best",18.0,39.0,28.0,23.96875,28.996596201
"PV",,7.37704918032787,11.1111111111111,8.43373493975904,7.28533434650456,9.53835401348683
"MK",," ",d," "," "," "
"RW","The first one to introduce the latest products and ingredients",25.0,42.0,37.0,36.796875,23.384351775
"PV",,10.2459016393443,11.965811965812,11.144578313253,11.1844604863222,7.69222097861842
"MK",," ",e," "," "," "
"RW","Helps me look younger for my age",21.0,31.0,36.0,28.796875,25.255099917
"PV",,8.60655737704918,8.83190883190883,10.8433734939759,8.75284954407296,8.30759865690789
"MK",," "," "," "," "," "
"RW","Has packages that delight me",27.0,36.0,39.0,41.28125,30.867344343
"PV",,11.0655737704918,10.2564102564103,11.7469879518072,12.5474924012158,10.1537316917763
"MK",," "," "," "," "," "
"RW","Has products you can feel working the moment you use them",22.0,37.0,38.0,36.453125,29.931970272
"PV",,9.01639344262295,10.5413105413105,11.4457831325301,11.0799772036474,9.84604285263157
"MK",," "," "," "," "," "
"RW","Is more effective than other brands",26.0,37.0,32.0,29.3125,32.738092485
"PV",,10.655737704918,10.5413105413105,9.63855421686747,8.90957446808511,10.7691093700658
"MK",," "," "," "," "," "
"TE"
"TB","AD13A6"
"VT","【Awareness Driver - Olay】"
"HT","Wave"
"BT","b1.Base-Total Respondents"
"CH",,"National",,,,,
"CL",,"Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)"
"RT","总体",1137.0,1500.0,1500.0,1500.0,1500.0,1500.0
"PV",,100.0,100.0,100.0,100.0,100.0,100.0
"RW","18-24",2.0,4.0,2.0,12.0,3.0,8.0
"PV",,0.975609756097561,1.40845070422535,0.760456273764259,4.3956043956044,1.11524163568773,2.89855072463768
"MK",," "," "," ",abce," ",c
"RW","25-34",11.0,22.0,24.0,15.0,29.0,34.0
"PV",,3.00546448087432,4.44444444444444,4.70588235294118,2.9940119760479,5.75396825396825,6.67976424361493
"MK",," "," "," "," ",ad,ad
"RW","35-44",38.0,49.0,40.0,67.0,74.0,72.0
"PV",,11.1436950146628,10.5831533477322,8.83002207505519,14.6929824561404,16.1925601750547,16.0356347438753
"MK",," "," "," ",bc,abc,abc
"RW","China 1+",10.0,9.0,11.0,15.0,23.0,21.0
"PV",,6.84931506849315,5.69620253164557,6.79012345679012,9.09090909090909,13.6904761904762,12.5748502994012
"MK",," "," "," "," ",abc,abc
"RW","China 1",18.0,29.0,29.0,32.0,33.0,44.0
"PV",,7.86026200873362,9.11949685534591,8.97832817337461,10.1910828025478,11.0367892976589,14.0575079872204
"MK",," "," "," "," "," ",abc
"RW","China 2&3",50.0,73.0,52.0,80.0,83.0,86.0
"PV",,6.56167979002625,7.12890625,5.12315270935961,7.83545543584721,8.03484995159729,8.43137254901961
"MK",," ",c," ",c,c,c
"RW","Top 4",5.0,31.0,20.0,32.0,26.0,28.0
"PV",,3.4965034965035,12.7049180327869,9.38967136150235,15.2380952380952,13.0,13.7254901960784
"MK",," ",a,a,ac,a,a
"RW","Top 4 + A",25.0,66.0,52.0,66.0,62.0,59.0
"PV",,5.10204081632653,9.375,7.69230769230769,9.90990990990991,9.33734939759036,8.79284649776453
"MK",," ",a,a,a,a,a
"RW","B",53.0,45.0,40.0,61.0,77.0,92.0
"PV",,8.19165378670788,5.65326633165829,4.85436893203883,7.31414868105516,9.21052631578947,11.0977080820265
"MK",,bc," "," ",c,bc,abcd
"TE"
"TB","AD12A6"
"VT","【Awareness Driver - Loreal】"
"HT","Wave"
"BT","b1.Base-Total Respondents"
"CH",,"National",,,,,
"CL",,"Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)"
"RT","总体",1137.0,1500.0,1500.0,1500.0,1500.0,1500.0
"PV",,100.0,100.0,100.0,100.0,100.0,100.0
"RW","18-24",16.0,21.0,15.0,23.0,16.0,20.0
"PV",,7.80487804878049,7.3943661971831,5.70342205323194,8.42490842490843,5.94795539033457,7.2463768115942
"MK",," "," "," "," "," "," "
"RW","25-34",22.0,51.0,26.0,45.0,51.0,57.0
"PV",,6.01092896174863,10.3030303030303,5.09803921568627,8.98203592814371,10.1190476190476,11.1984282907662
"MK",," ",ac," ",ac,ac,ac
"RW","35-44",43.0,43.0,50.0,46.0,39.0,70.0
"PV",,12.6099706744868,9.28725701943844,11.037527593819,10.0877192982456,8.53391684901532,15.5902004454343
"MK",,e," "," "," "," ",bcde
"RW","China 1+",12.0,14.0,17.0,17.0,29.0,23.0
"PV",,8.21917808219178,8.86075949367089,10.4938271604938,10.3030303030303,17.2619047619048,13.7724550898204
"MK",," "," "," "," ",abcd," "
"RW","China 1",29.0,40.0,29.0,39.0,29.0,47.0
"PV",,12.6637554585153,12.5786163522013,8.97832817337461,12.4203821656051,9.69899665551839,15.0159744408946
"MK",," "," "," "," "," ",ce
"RW","China 2&3",64.0,84.0,82.0,88.0,86.0,108.0
"PV",,8.3989501312336,8.203125,8.07881773399015,8.61900097943193,8.32526621490804,10.5882352941176
"MK",," "," "," "," "," ",bce
"RW","Top 4",12.0,26.0,27.0,25.0,14.0,27.0
"PV",,8.39160839160839,10.655737704918,12.6760563380282,11.9047619047619,7.0,13.2352941176471
"MK",," "," ",e,e," ",e
"RW","Top 4 + A",41.0,71.0,64.0,72.0,68.0,90.0
"PV",,8.36734693877551,10.0852272727273,9.46745562130178,10.8108108108108,10.2409638554217,13.4128166915052
"MK",," "," "," "," "," ",abce
"RW","B",64.0,67.0,64.0,72.0,76.0,88.0
"PV",,9.89180834621329,8.41708542713568,7.76699029126214,8.63309352517986,9.09090909090909,10.6151990349819
"MK",," "," "," "," "," ",c
"TE"
"TB","AD6A6"
"VT","【Awareness Driver - Estee Lauder】"
"HT","Wave"
"BT","b1.Base-Total Respondents"
"CH",,"National",,,,,
"CL",,"Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)"
"RT","总体",1137.0,1500.0,1500.0,1500.0,1500.0,1500.0
"PV",,100.0,100.0,100.0,100.0,100.0,100.0
"RW","18-24",4.0,6.0,5.0,7.0,13.0,8.0
"PV",,1.95121951219512,2.11267605633803,1.90114068441065,2.56410256410256,4.83271375464684,2.89855072463768
"MK",," "," "," "," ",abc," "
"RW","25-34",8.0,20.0,16.0,20.0,15.0,16.0
"PV",,2.18579234972678,4.04040404040404,3.13725490196078,3.99201596806387,2.97619047619048,3.1434184675835
"MK",," "," "," "," "," "," "
"RW","35-44",7.0,25.0,19.0,13.0,15.0,12.0
"PV",,2.05278592375367,5.39956803455724,4.19426048565121,2.85087719298246,3.28227571115974,2.67260579064588
"MK",," ",adf,a," "," "," "
"RW","China 1+",7.0,11.0,14.0,12.0,11.0,13.0
"PV",,4.79452054794521,6.9620253164557,8.64197530864197,7.27272727272727,6.54761904761905,7.78443113772455
"MK",," "," "," "," "," "," "
"RW","China 1",13.0,23.0,17.0,13.0,17.0,9.0
"PV",,5.67685589519651,7.23270440251572,5.26315789473684,4.14012738853503,5.68561872909699,2.87539936102236
"MK",," ",df," "," ",f," "
"RW","China 2&3",16.0,23.0,26.0,21.0,27.0,24.0
"PV",,2.0997375328084,2.24609375,2.5615763546798,2.05680705190989,2.61374636979671,2.35294117647059
"MK",," "," "," "," "," "," "
"RW","Top 4",5.0,13.0,18.0,10.0,7.0,11.0
"PV",,3.4965034965035,5.32786885245902,8.45070422535211,4.76190476190476,3.5,5.3921568627451
"MK",," "," ",ae," "," "," "
"RW","Top 4 + A",22.0,32.0,45.0,28.0,29.0,31.0
"PV",,4.48979591836735,4.54545454545455,6.65680473372781,4.2042042042042,4.36746987951807,4.61997019374069
"MK",," "," ",bde," "," "," "
"RW","B",14.0,25.0,12.0,18.0,26.0,15.0
"PV",,2.16383307573416,3.14070351758794,1.45631067961165,2.15827338129496,3.11004784688995,1.80940892641737
"MK",," ",cf," "," ",cf," "
"TE"
"TB","AD7A6"
"VT","【Awareness Driver - Pechoin】"
"HT","Wave"
"BT","b1.Base-Total Respondents"
"CH",,"National",,,,,
"CL",,"Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)"
"RT","总体",1137.0,1500.0,1500.0,1500.0,1500.0,1500.0
"PV",,100.0,100.0,100.0,100.0,100.0,100.0
"RW","18-24",15.0,15.0,14.0,10.0,23.0,17.0
"PV",,7.31707317073171,5.28169014084507,5.32319391634981,3.66300366300366,8.55018587360595,6.15942028985507
"MK",,d," "," "," ",d," "
"RW","25-34",19.0,23.0,30.0,31.0,35.0,33.0
"PV",,5.19125683060109,4.64646464646465,5.88235294117647,6.187624750499,6.94444444444444,6.48330058939096
"MK",," "," "," "," "," "," "
"RW","35-44",27.0,41.0,42.0,32.0,33.0,41.0
"PV",,7.91788856304985,8.85529157667387,9.27152317880795,7.01754385964912,7.22100656455142,9.13140311804009
"MK",," "," "," "," "," "," "
"RW","China 1+",7.0,7.0,2.0,4.0,9.0,17.0
"PV",,4.79452054794521,4.43037974683544,1.23456790123457,2.42424242424242,5.35714285714286,10.1796407185629
"MK",,c,c," "," ",c,abcde
"RW","China 1",10.0,13.0,15.0,10.0,22.0,17.0
"PV",,4.36681222707424,4.08805031446541,4.64396284829721,3.18471337579618,7.35785953177258,5.43130990415335
"MK",," "," "," "," ",bd," "
"RW","China 2&3",61.0,84.0,85.0,78.0,85.0,82.0
"PV",,8.00524934383202,8.203125,8.3743842364532,7.63956904995103,8.22846079380445,8.03921568627451
"MK",," "," "," "," "," "," "
"RW","Top 4",9.0,13.0,13.0,9.0,11.0,8.0
"PV",,6.29370629370629,5.32786885245902,6.10328638497653,4.28571428571429,5.5,3.92156862745098
"MK",," "," "," "," "," "," "
"RW","Top 4 + A",33.0,40.0,34.0,36.0,49.0,49.0
"PV",,6.73469387755102,5.68181818181818,5.02958579881657,5.40540540540541,7.37951807228916,7.30253353204173
"MK",," "," "," "," ",c,c
"RW","B",45.0,64.0,68.0,56.0,67.0,67.0
"PV",,6.95517774343122,8.04020100502512,8.25242718446602,6.71462829736211,8.01435406698565,8.08202653799759
"MK",," "," "," "," "," "," "
"TE"
"TB","AD1A6"
"VT","【Awareness Driver - Aupres】"
"HT","Wave"
"BT","b1.Base-Total Respondents"
"CH",,"National",,,,,
"CL",,"Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)"
"RT","总体",1137.0,1500.0,1500.0,1500.0,1500.0,1500.0
"PV",,100.0,100.0,100.0,100.0,100.0,100.0
"RW","18-24",0.0,0.0,0.0,3.0,1.0,2.0
"PV",,0.0,0.0,0.0,1.0989010989011,0.371747211895911,0.72463768115942
"MK",," "," "," ",abc," "," "
"RW","25-34",1.0,3.0,2.0,8.0,2.0,1.0
"PV",,0.273224043715847,0.606060606060606,0.392156862745098,1.59680638722555,0.396825396825397,0.196463654223969
"MK",," "," "," ",acef," "," "
"RW","35-44",2.0,10.0,11.0,6.0,7.0,8.0
"PV",,0.586510263929619,2.15982721382289,2.42825607064018,1.31578947368421,1.53172866520788,1.78173719376392
"MK",," ",a,a," "," "," "
"RW","China 1+",1.0,0.0,2.0,5.0,2.0,1.0
"PV",,0.684931506849315,0.0,1.23456790123457,3.03030303030303,1.19047619047619,0.598802395209581
"MK",," "," "," ",bf," "," "
"RW","China 1",2.0,9.0,3.0,5.0,4.0,5.0
"PV",,0.873362445414847,2.83018867924528,0.928792569659443,1.59235668789809,1.33779264214047,1.59744408945687
"MK",," ",ac," "," "," "," "
"RW","China 2&3",2.0,7.0,9.0,12.0,8.0,12.0
"PV",,0.26246719160105,0.68359375,0.886699507389163,1.17531831537708,0.774443368828654,1.17647058823529
"MK",," "," ",a,a," ",a
"RW","Top 4",0.0,4.0,3.0,3.0,2.0,3.0
"PV",,0.0,1.63934426229508,1.40845070422535,1.42857142857143,1.0,1.47058823529412
"MK",," ",a,a,a," ",a
"RW","Top 4 + A",3.0,10.0,6.0,12.0,7.0,4.0
"PV",,0.612244897959184,1.42045454545455,0.887573964497041,1.8018018018018,1.05421686746988,0.596125186289121
"MK",," "," "," ",af," "," "
"RW","B",2.0,6.0,8.0,10.0,7.0,14.0
"PV",,0.309119010819165,0.753768844221106,0.970873786407767,1.19904076738609,0.837320574162679,1.68878166465621
"MK",," "," "," ",a," ",ab
"TE"
"TB","AD2A6"
"VT","【Awareness Driver - Herborist】"
"HT","Wave"
"BT","b1.Base-Total Respondents"
"CH",,"National",,,,,
"CL",,"Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)"
"RT","总体",1137.0,1500.0,1500.0,1500.0,1500.0,1500.0
"PV",,100.0,100.0,100.0,100.0,100.0,100.0
"RW","18-24",2.0,4.0,2.0,2.0,4.0,1.0
"PV",,0.975609756097561,1.40845070422535,0.760456273764259,0.732600732600733,1.48698884758364,0.36231884057971
"MK",," "," "," "," "," "," "
"RW","25-34",6.0,5.0,11.0,6.0,6.0,5.0
"PV",,1.63934426229508,1.01010101010101,2.15686274509804,1.19760479041916,1.19047619047619,0.982318271119843
"MK",," "," "," "," "," "," "
"RW","35-44",1.0,3.0,9.0,2.0,2.0,3.0
"PV",,0.293255131964809,0.647948164146868,1.98675496688742,0.43859649122807,0.437636761487965,0.66815144766147
"MK",," "," ",abdef," "," "," "
"RW","China 1+",0.0,1.0,1.0,2.0,1.0,1.0
"PV",,0.0,0.632911392405063,0.617283950617284,1.21212121212121,0.595238095238095,0.598802395209581
"MK",," "," "," "," "," "," "
"RW","China 1",4.0,5.0,5.0,2.0,2.0,2.0
"PV",,1.74672489082969,1.57232704402516,1.54798761609907,0.636942675159236,0.668896321070234,0.638977635782748
"MK",," "," "," "," "," "," "
"RW","China 2&3",8.0,7.0,20.0,8.0,13.0,9.0
"PV",,1.0498687664042,0.68359375,1.97044334975369,0.783545543584721,1.25847047434656,0.882352941176471
"MK",," "," ",bdf," "," "," "
"RW","Top 4",1.0,1.0,2.0,1.0,3.0,2.0
"PV",,0.699300699300699,0.409836065573771,0.938967136150235,0.476190476190476,1.5,0.980392156862745
"MK",," "," "," "," "," "," "
"RW","Top 4 + A",4.0,8.0,10.0,6.0,8.0,7.0
"PV",,0.816326530612245,1.13636363636364,1.4792899408284,0.900900900900901,1.20481927710843,1.04321907600596
"MK",," "," "," "," "," "," "
"RW","B",8.0,5.0,16.0,6.0,8.0,5.0
"PV",,1.23647604327666,0.628140703517588,1.94174757281553,0.719424460431655,0.956937799043062,0.60313630880579
"MK",," "," ",bdef," "," "," "
"TE"
"TB","AD3A6"
"VT","【Awareness Driver - Chcedo】"
"HT","Wave"
"BT","b1.Base-Total Respondents"
"CH",,"National",,,,,
"CL",,"Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)"
"RT","总体",1137.0,1500.0,1500.0,1500.0,1500.0,1500.0
"PV",,100.0,100.0,100.0,100.0,100.0,100.0
"RW","18-24",11.0,14.0,14.0,16.0,12.0,29.0
"PV",,5.36585365853659,4.92957746478873,5.32319391634981,5.86080586080586,4.46096654275093,10.5072463768116
"MK",," "," "," "," "," ",abcde
"RW","25-34",35.0,33.0,33.0,34.0,26.0,49.0
"PV",,9.56284153005464,6.66666666666667,6.47058823529412,6.78642714570858,5.15873015873016,9.62671905697446
"MK",,e," "," "," "," ",bcde
"RW","35-44",17.0,19.0,22.0,21.0,18.0,16.0
"PV",,4.98533724340176,4.1036717062635,4.85651214128035,4.60526315789474,3.93873085339168,3.56347438752784
"MK",," "," "," "," "," "," "
"RW","China 1+",5.0,4.0,5.0,7.0,4.0,16.0
"PV",,3.42465753424658,2.53164556962025,3.08641975308642,4.24242424242424,2.38095238095238,9.58083832335329
"MK",," "," "," "," "," ",abcde
"RW","China 1",9.0,5.0,13.0,21.0,16.0,23.0
"PV",,3.93013100436681,1.57232704402516,4.02476780185759,6.68789808917197,5.35117056856187,7.3482428115016
"MK",," "," ",b,b,b,abc
"RW","China 2&3",59.0,66.0,68.0,51.0,48.0,66.0
"PV",,7.74278215223097,6.4453125,6.69950738916256,4.9951028403526,4.64666021297193,6.47058823529412
"MK",,de,e,e," "," ",e
"RW","Top 4",7.0,7.0,11.0,4.0,7.0,15.0
"PV",,4.8951048951049,2.86885245901639,5.16431924882629,1.9047619047619,3.5,7.35294117647059
"MK",," "," ",d," "," ",bde
"RW","Top 4 + A",28.0,25.0,35.0,24.0,22.0,46.0
"PV",,5.71428571428571,3.55113636363636,5.17751479289941,3.6036036036036,3.31325301204819,6.85543964232489
"MK",,bde," ",e," "," ",bde
"RW","B",45.0,50.0,51.0,55.0,46.0,59.0
"PV",,6.95517774343122,6.28140703517588,6.18932038834951,6.5947242206235,5.50239234449761,7.11700844390832
"MK",," "," "," "," "," "," "
"TE"
"TB","AD4A6"
"VT","【Awareness Driver - Clinique】"
"HT","Wave"
"BT","b1.Base-Total Respondents"
"CH",,"National",,,,,
"CL",,"Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)"
"RT","总体",1137.0,1500.0,1500.0,1500.0,1500.0,1500.0
"PV",,100.0,100.0,100.0,100.0,100.0,100.0
"RW","18-24",0.0,1.0,1.0,3.0,0.0,3.0
"PV",,0.0,0.352112676056338,0.380228136882129,1.0989010989011,0.0,1.08695652173913
"MK",," "," "," ",ae," ",ae
"RW","25-34",1.0,5.0,6.0,6.0,1.0,2.0
"PV",,0.273224043715847,1.01010101010101,1.17647058823529,1.19760479041916,0.198412698412698,0.392927308447937
"MK",," ",e,e,ae," "," "
"RW","35-44",1.0,2.0,6.0,2.0,1.0,2.0
"PV",,0.293255131964809,0.431965442764579,1.32450331125828,0.43859649122807,0.218818380743982,0.44543429844098
"MK",," "," ",ae," "," "," "
"RW","China 1+",0.0,1.0,2.0,5.0,2.0,2.0
"PV",,0.0,0.632911392405063,1.23456790123457,3.03030303030303,1.19047619047619,1.19760479041916
"MK",," "," "," ",a," "," "
"RW","China 1",0.0,4.0,4.0,4.0,0.0,2.0
"PV",,0.0,1.25786163522013,1.23839009287926,1.27388535031847,0.0,0.638977635782748
"MK",," ",ae,ae,ae," "," "
"RW","China 2&3",2.0,4.0,10.0,2.0,1.0,4.0
"PV",,0.26246719160105,0.390625,0.985221674876847,0.19588638589618,0.0968054211035818,0.392156862745098
"MK",," "," ",ade," "," "," "
"RW","Top 4",0.0,4.0,4.0,0.0,2.0,3.0
"PV",,0.0,1.63934426229508,1.87793427230047,0.0,1.0,1.47058823529412
"MK",," ",ad,ad," "," ",ad
"RW","Top 4 + A",0.0,7.0,10.0,7.0,3.0,5.0
"PV",,0.0,0.994318181818182,1.4792899408284,1.05105105105105,0.451807228915663,0.745156482861401
"MK",," ",a,ae,a,a,a
"RW","B",2.0,2.0,6.0,4.0,0.0,3.0
"PV",,0.309119010819165,0.251256281407035,0.728155339805825,0.479616306954436,0.0,0.361881785283474
"MK",," "," ",e,e," ",e
"TE"
"TB","AD5A6"
"VT","【Awareness Driver - Dabao】"
"HT","Wave"
"BT","b1.Base-Total Respondents"
"CH",,"National",,,,,
"CL",,"Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)"
"RT","总体",1137.0,1500.0,1500.0,1500.0,1500.0,1500.0
"PV",,100.0,100.0,100.0,100.0,100.0,100.0
"RW","18-24",3.0,7.0,6.0,4.0,10.0,13.0
"PV",,1.46341463414634,2.46478873239437,2.28136882129278,1.46520146520147,3.71747211895911,4.71014492753623
"MK",," "," "," "," ",d,ad
"RW","25-34",5.0,23.0,18.0,14.0,36.0,31.0
"PV",,1.36612021857923,4.64646464646465,3.52941176470588,2.79441117764471,7.14285714285714,6.09037328094303
"MK",," ",a,a," ",abcd,acd
"RW","35-44",15.0,39.0,36.0,33.0,49.0,20.0
"PV",,4.39882697947214,8.42332613390929,7.94701986754967,7.23684210526316,10.7221006564551,4.4543429844098
"MK",," ",af,af,af,adf," "
"RW","China 1+",3.0,14.0,9.0,6.0,11.0,7.0
"PV",,2.05479452054795,8.86075949367089,5.55555555555556,3.63636363636364,6.54761904761905,4.19161676646707
"MK",," ",adf," "," ",a," "
"RW","China 1",11.0,26.0,26.0,16.0,32.0,19.0
"PV",,4.80349344978166,8.17610062893082,8.04953560371517,5.09554140127389,10.7023411371237,6.0702875399361
"MK",," "," "," "," ",adf," "
"RW","China 2&3",24.0,58.0,50.0,53.0,86.0,62.0
"PV",,3.1496062992126,5.6640625,4.92610837438424,5.19098922624878,8.32526621490804,6.07843137254902
"MK",," ",a,a,a,abcdf,a
"RW","Top 4",6.0,17.0,9.0,17.0,22.0,13.0
"PV",,4.1958041958042,6.9672131147541,4.22535211267606,8.09523809523809,11.0,6.37254901960784
"MK",," "," "," ",c,acf," "
"RW","Top 4 + A",13.0,54.0,36.0,30.0,61.0,41.0
"PV",,2.6530612244898,7.67045454545455,5.32544378698225,4.5045045045045,9.18674698795181,6.11028315946349
"MK",," ",acd,a,a,acdf,a
"RW","B",25.0,44.0,49.0,45.0,68.0,47.0
"PV",,3.86398763523957,5.52763819095477,5.94660194174757,5.39568345323741,8.13397129186603,5.66948130277443
"MK",," "," ",a," ",abcdf," "
"TE"
"TB","AD8A6"
"VT","【Awareness Driver - Innisfree】"
"HT","Wave"
"BT","b1.Base-Total Respondents"
"CH",,"National",,,,,
"CL",,"Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)"
"RT","总体",1137.0,1500.0,1500.0,1500.0,1500.0,1500.0
"PV",,100.0,100.0,100.0,100.0,100.0,100.0
