"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","Q3A1"
"VT","【Q3】 TOMA"
"HT","KPI"
"BT","b1.Base-Total Respondents"
"CH",,"Rolling wave",,,,,"National",,,,,
"CL",,"Aug+Sep (a)","Sep+Nov (b)","Nov+Dec (c)","Dec+Jan (d)","Jan+March (e)","Aug (a)","Sep (b)","Nov (c)","Dec (d)","Jan (e)","March (f)"
"PV",,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"RW","Olay",465.0,591.0,662.0,729.0,799.0,192.0,273.0,318.0,344.0,385.0,414.0
"PV",,17.6336746302617,19.7,22.0666666666667,24.3,26.6333333333333,16.8865435356201,18.2,21.2,22.9333333333333,25.6666666666667,27.6
"MK",," ",a,ab,abc,abcd," "," ",ab,ab,abcd,abcd
"RW","Loreal",718.0,840.0,848.0,893.0,1030.0,308.0,410.0,430.0,418.0,475.0,555.0
"PV",,27.227910504361,28.0,28.2666666666667,29.7666666666667,34.3333333333333,27.0888302550572,27.3333333333333,28.6666666666667,27.8666666666667,31.6666666666667,37.0
"MK",," "," "," ",a,abcd," "," "," "," ",abcd,abcde
"RW","Estee Lauder",343.0,445.0,457.0,450.0,453.0,127.0,216.0,229.0,228.0,222.0,231.0
"PV",,13.0072051573758,14.8333333333333,15.2333333333333,15.0,15.1,11.169744942832,14.4,15.2666666666667,15.2,14.8,15.4
"MK",," ",a,a,a,a," ",a,a,a,a,a
"RW","Pechoin",506.0,651.0,650.0,635.0,701.0,205.0,301.0,350.0,300.0,335.0,366.0
"PV",,19.1884717481987,21.7,21.6666666666667,21.1666666666667,23.3666666666667,18.0299032541777,20.0666666666667,23.3333333333333,20.0,22.3333333333333,24.4
"MK",," ",a,a,a,ad," "," ",abd," ",a,abd
"RW","Aupres",79.0,97.0,132.0,156.0,167.0,30.0,49.0,48.0,84.0,72.0,95.0
"PV",,2.99582859309822,3.23333333333333,4.4,5.2,5.56666666666667,2.63852242744063,3.26666666666667,3.2,5.6,4.8,6.33333333333333
"MK",," "," ",ab,ab,abc," "," "," ",abc,abc,abce
"RW","Herborist",98.0,144.0,176.0,169.0,158.0,44.0,54.0,90.0,86.0,83.0,75.0
"PV",,3.7163443306788,4.8,5.86666666666667,5.63333333333333,5.26666666666667,3.8698328935796,3.6,6.0,5.73333333333333,5.53333333333333,5.0
"MK",," ",a,ab,a,a," "," ",ab,ab,ab,b
"RW","Chcedo",417.0,503.0,538.0,518.0,522.0,181.0,236.0,267.0,271.0,247.0,275.0
"PV",,15.8134243458476,16.7666666666667,17.9333333333333,17.2666666666667,17.4,15.9190853122252,15.7333333333333,17.8,18.0666666666667,16.4666666666667,18.3333333333333
"MK",," "," ",a," "," "," "," "," ",b," ",b
"RW","Clinique",65.0,98.0,113.0,110.0,90.0,20.0,45.0,53.0,60.0,50.0,40.0
"PV",,2.4649222601441,3.26666666666667,3.76666666666667,3.66666666666667,3.0,1.75901495162709,3.0,3.53333333333333,4.0,3.33333333333333,2.66666666666667
"MK",," ",a,a,a," "," ",a,a,af,a," "
"RW","Dabao",338.0,506.0,534.0,629.0,674.0,92.0,246.0,260.0,274.0,355.0,319.0
"PV",,12.8175957527493,16.8666666666667,17.8,20.9666666666667,22.4666666666667,8.09146877748461,16.4,17.3333333333333,18.2666666666667,23.6666666666667,21.2666666666667
"MK",," ",a,a,abc,abc," ",a,a,a,abcd,abcd
"RW","Innisfree",67.0,86.0,91.0,82.0,101.0,32.0,35.0,51.0,40.0,42.0,59.0
"PV",,2.54076602199469,2.86666666666667,3.03333333333333,2.73333333333333,3.36666666666667,2.81442392260334,2.33333333333333,3.4,2.66666666666667,2.8,3.93333333333333
"MK",," "," "," "," ",a," "," ",b," "," ",bde
"RW","Inoherb",190.0,273.0,331.0,376.0,382.0,76.0,114.0,159.0,172.0,204.0,178.0
"PV",,7.20515737580584,9.1,11.0333333333333,12.5333333333333,12.7333333333333,6.68425681618294,7.6,10.6,11.4666666666667,13.6,11.8666666666667
"MK",," ",a,ab,abc,abc," "," ",ab,ab,abcd,ab
